# Total Phase Data Center(tm) v8.00
# (c) 2005-2025 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data,ASCII
0,"0","0:00.000.000","","","","","","Capture started",[03/23/26 13:20:47],""
0,"1","0:01.968.356","278.100 us","1 B","","S","50","Write Transaction",09,"."
0,"2","0:01.968.634","218.000 us","1 B","","SP","50","Read Transaction",00*,"."
0,"3","0:01.969.539","278.200 us","1 B","","S","50","Write Transaction",0A,"."
0,"4","0:01.969.817","218.000 us","1 B","","SP","50","Read Transaction",00*,"."
0,"5","0:01.970.713","278.200 us","1 B","","S","50","Write Transaction",0B,"."
0,"6","0:01.970.991","218.000 us","1 B","","SP","50","Read Transaction",00*,"."
0,"7","0:01.971.930","278.200 us","1 B","","S","50","Write Transaction",02,"."
0,"8","0:01.972.208","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"9","0:01.973.056","321.700 us","2 B","","SP","50","Write Transaction",7F 01,".."
0,"10","0:01.973.958","278.200 us","1 B","","S","50","Write Transaction",91,"."
0,"11","0:01.974.236","218.000 us","1 B","","SP","50","Read Transaction",60*,"`"
0,"12","0:01.975.086","321.700 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"13","0:01.976.068","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"14","0:01.976.346","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"15","0:01.977.197","321.800 us","2 B","","SP","50","Write Transaction",7F 11,".."
0,"16","0:01.978.100","278.200 us","1 B","","S","50","Write Transaction",8B,"."
0,"17","0:01.978.378","529.100 us","4 B","","SP","50","Read Transaction",00 00 00 00*,"...."
0,"18","0:01.979.892","321.700 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"19","0:01.980.607","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"20","0:01.980.886","218.100 us","1 B","","SP","50","Read Transaction",04*,"."
0,"21","0:01.981.734","321.800 us","2 B","","SP","50","Write Transaction",7F 11,".."
0,"22","0:01.982.638","278.100 us","1 B","","S","50","Write Transaction",95,"."
0,"23","0:01.982.916","529.200 us","4 B","","SP","50","Read Transaction",00 00 00 00*,"...."
0,"24","0:01.984.422","321.800 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"25","0:01.985.502","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"26","0:01.985.780","218.100 us","1 B","","SP","50","Read Transaction",04*,"."
0,"27","0:01.986.632","321.800 us","2 B","","SP","50","Write Transaction",7F 11,".."
0,"28","0:01.987.535","278.200 us","1 B","","S","50","Write Transaction",8F,"."
0,"29","0:01.987.814","529.100 us","4 B","","SP","50","Read Transaction",00 9A 00 9A*,"...."
0,"30","0:01.989.328","321.800 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"31","0:01.991.725","278.200 us","1 B","","S","50","Write Transaction",08,"."
0,"32","0:01.992.003","218.000 us","1 B","","SP","50","Read Transaction",00*,"."
0,"33","0:01.992.489","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"34","0:01.992.767","218.100 us","1 B","","SP","50","Read Transaction",04*,"."
0,"35","0:01.993.619","321.700 us","2 B","","SP","50","Write Transaction",7F 01,".."
0,"36","0:01.994.527","278.200 us","1 B","","S","50","Write Transaction",9D,"."
0,"37","0:01.994.805","218.000 us","1 B","","SP","50","Read Transaction",06*,"."
0,"38","0:01.995.650","321.700 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"39","0:01.996.470","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"40","0:01.996.748","218.100 us","1 B","","SP","50","Read Transaction",04*,"."
0,"41","0:01.997.595","321.700 us","2 B","","SP","50","Write Transaction",7F 01,".."
0,"42","0:01.998.497","278.200 us","1 B","","S","50","Write Transaction",9E,"."
0,"43","0:01.998.775","218.000 us","1 B","","SP","50","Read Transaction",06*,"."
0,"44","0:01.999.626","321.700 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"45","0:02.000.469","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"46","0:02.000.747","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"47","0:02.001.598","321.800 us","2 B","","SP","50","Write Transaction",7F 11,".."
0,"48","0:02.002.506","278.200 us","1 B","","S","50","Write Transaction",93,"."
